Time,Load
(sec),(N)
100.2,88.94125
100.29999,88.60905
100.39999,88.29816
100.5,87.95319
100.6,87.67036
100.7,87.34597
100.7128,87.3266
100.79999,87.02277
100.89999,86.72298
101,86.42299
101.1,86.12116
101.2,85.79149
101.29999,85.52109
101.39999,85.21717
101.5,84.90021
101.6,84.58964
101.7,84.32095
101.79999,83.9917
101.89999,83.66817
102,83.38685
102.1,83.10792
102.2,82.80416
102.29999,82.49168
102.3868,82.28111
102.39999,82.22744
102.5,81.92851
102.6,81.59668
102.7,81.31123
102.79999,81.05311
102.89999,80.73442
103,80.43543
103.1,80.16469
103.2,79.89879
103.29999,79.58348
103.39999,79.30924
103.5,79.02368
103.6,78.76372
103.7,78.46238
103.79999,78.17814
103.89999,77.92357
104,77.62575
104.0728,77.42623
104.1,77.36093
104.2,77.07889
104.29999,76.8212
104.39999,76.50527
104.5,76.20594
104.6,75.97359
104.7,75.68686
104.79999,75.40924
104.89999,75.13119
105,74.88555
105.1,74.57414
105.2,74.30502
105.29999,74.06218
105.39999,73.78075
105.5,73.51585
105.6,73.23999
105.7,73.0267
105.79999,72.73978
105.89999,72.44822
105.9758,72.25373
106,72.19888
106.1,71.93309
106.2,71.6705
106.29999,71.39596
106.39999,71.1818
106.5,70.92997
106.6,70.65706
106.7,70.41426
106.79999,70.17527
106.89999,69.90198
107,69.64367
107.1,69.41232
107.2,69.18925
107.29999,68.92407
107.39999,68.68786
107.5,68.46905
107.6,68.19955
107.7,67.94833
107.79999,67.70943
107.89999,67.50803
107.9618,67.36232
108,67.22642
108.1,67.01738
108.2,66.75144
108.29999,66.54957
108.39999,66.2901
108.5,66.07211
108.6,65.86609
108.7,65.60793
108.79999,65.36994
108.89999,65.12611
109,64.93864
109.1,64.665
109.2,64.45587
109.29999,64.26037
109.39999,64.03525
109.5,63.80707
109.6,63.54891
109.7,63.36796
109.79999,63.10041
109.89999,62.88584
110,62.6731
110.1,62.47353
110.2,62.25739
110.2038,62.24922
110.29999,62.02532
110.39999,61.83946
110.5,61.60569
110.6,61.38361
110.7,61.18937
110.79999,60.98774
110.89999,60.80478
111,60.54102
111.1,60.34731
111.2,60.13993
111.29999,59.91282
111.39999,59.72505
111.5,59.54031
111.6,59.35303
111.7,59.11391
111.79999,58.92279
111.89999,58.72221
112,58.48931
112.1,58.32717
112.2,58.10982
112.29999,57.95633
112.39999,57.71232
112.5,57.52225
112.5808,57.39835
112.6,57.35058
112.7,57.1462
112.79999,56.94917
112.89999,56.74821
113,56.62179
113.1,56.38518
113.2,56.19178
113.29999,55.98718
113.39999,55.80646
113.5,55.60444
113.6,55.41809
113.7,55.26702
113.79999,55.07417
113.89999,54.89129
114,54.67159
114.1,54.52543
114.2,54.30151
114.29999,54.14513
114.39999,53.9716
114.5,53.80681
114.6,53.59183
114.7,53.41285
114.79999,53.25101
114.89999,53.05648
115,52.87528
115.1,52.72193
115.2,52.57158
115.29999,52.36894
115.3838,52.22437
115.39999,52.19749
115.5,52.04175
115.6,51.85532
115.7,51.66488
115.79999,51.52026
